"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"f(1,31)=15.07"	0.000506528442997367	0.0101305688599473	0.0202611377198947	0.938966752651142	0.970964268137683	-2.3214765603624	-2.0483851500932	1.54615766615318	1.89515806664234
"f(1,24)=4.30"	0.049010506245981	0.98021012491962	NA	0.00990050583185031	NA	2.0581081779547	NA	-2.33009725161806	NA
"f(1,22)=0.72"	0.405282214149044	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,22)=0.567"	0.459436057000597	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,22)=0.82"	0.374991084790623	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,11)=1.521"	0.243172951697861	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,11)=0.637"	0.441689370778999	NA	NA	NA	NA	NA	NA	NA	NA
"f(6,138)=3.9"	0.00125044148651687	0.0250088297303375	0.0500176594606749	0.873262153825477	0.940011509000362	-1.9598129294829	-1.64468242547011	1.14194786192609	1.55487021630915
"f(1,20)=7.60"	0.0121626784702319	0.243253569404638	0.486507138809276	0.542035160448774	0.77980848499854	-0.695874961816124	-0.0338280380335501	0.105562247956671	0.771546569971201
"f(1,19)=18.4"	0.000395712776483537	0.00791425552967073	0.0158285110593415	0.955882195079714	0.978754513793356	-2.41284588080647	-2.14871470725359	1.70477921267392	2.02867923333831
"f(1,21)=6.7"	0.0171444320342081	0.342888640684162	0.685777281368325	0.438426833714262	0.730377611390538	-0.40459221575312	0.483916066909171	-0.154958965281693	0.61395543405287
"f(1,21)=2.7"	0.115238222258384	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,22)=7.4"	0.0124956361686435	0.249912723372869	0.499825446745739	0.531659136217307	0.775431227979314	-0.674764423411797	-0.000437540136521055	0.0794411644760847	0.756853654194135
"f(1,22)=6.6"	0.0175030501513475	0.350061003026949	0.700122006053898	0.430512862261159	0.72693173478254	-0.385155776192583	0.524751447062583	-0.175068607952437	0.603559523303924
"f(1,18)=12.5"	0.00236268830638076	0.0472537661276151	0.0945075322552302	0.842856809680477	0.924193035039833	-1.67208515108633	-1.31349838572381	1.00626860024447	1.43385400449888
"f(1,22.22)=4.75"	0.0401735123439615	0.80347024687923	NA	0.105108572629844	NA	0.854082090819549	NA	-1.2529685698845	NA
"f(1,10)=6.88"	0.0254673410335788	0.509346820671577	NA	0.319655817107672	NA	0.0234311488200059	NA	-0.468661466599679	NA
"f(1,10)=7.72"	0.0195011594394521	0.390023188789042	0.780046377578083	0.42223103993811	0.71374982839347	-0.279258597019234	0.772349855148567	-0.196189201370499	0.564372951162946
"f(1,10)=5.93"	0.035138753881554	0.702775077631079	NA	0.178126553616848	NA	0.532398758678509	NA	-0.922528239583796	NA
"f(1,19)=4.43"	0.0488518184196906	0.977036368393811	NA	0.011681963133882	NA	1.99606118594748	NA	-2.26743072598086	NA
"t(27)=4.08"	0.000358039226367124	0.00716078452734248	0.014321569054685	0.953923305187375	0.978017102220132	-2.44909494612276	-2.18836345452184	1.68414634487935	2.01441676592137
"f(1,19)=5.28"	0.033099756518761	0.661995130375219	NA	0.19325386432768	NA	0.417914351433168	NA	-0.865967966890108	NA
"t(22)=2.323"	0.0298197018750892	0.596394037501784	NA	0.235078806429415	NA	0.244024396886601	NA	-0.722222628911825	NA
"f(1,30)=9.95"	0.00364171682854275	0.072834336570855	0.14566867314171	0.773853310603417	0.892344862484269	-1.45500212523727	-1.05519238476975	0.75159711503315	1.23909511731744
"f(1,14)=10.05"	0.00681286195946551	0.13625723918931	0.27251447837862	0.693763184596749	0.850855988670831	-1.09729037193353	-0.605225828013815	0.506545679433448	1.04011166957643
"f(1,23)=4.86"	0.0377601927460074	0.755203854920148	NA	0.133065198896433	NA	0.690957435590786	NA	-1.11201803103909	NA
"f(1,93)=8.599"	0.00423405489144413	0.0846810978288826	0.169362195657765	0.734150872847142	0.875128879017075	-1.37425608151191	-0.956688723819279	0.625415709464181	1.15097567741878
"f(1,137)=55.729"	0.00000000000873634498077536	0.000000000174726899615507	0.000000000349453799231014	0.999999904134372	0.999999955062875	-6.27508034164616	-6.16633539999241	5.20718080407788	5.34609056641198
"f(1,50)=4.89"	0.0316131608603523	0.632263217207045	NA	0.20332478119775	NA	0.33785353335726	NA	-0.829804082250651	NA
"f(1,20)=0.15"	0.702626039659171	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,20)=1.3"	0.267684016269293	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,20)=0.44"	0.514696123897319	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,20)=0.08"	0.780204077972047	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,20)=0.06"	0.808991659205619	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,20)=0.008"	0.929619713545189	NA	NA	NA	NA	NA	NA	NA	NA
"t(38)=2.52"	0.0160572591115721	0.321145182231442	0.642290364462883	0.446649184892366	0.737680108740829	-0.464498876236657	0.364587601780611	-0.134131780141903	0.636209652665336
"t(38)=1.12"	0.269742912803187	NA	NA	NA	NA	NA	NA	NA	NA
"f(1,73)=5.30"	0.0241794109114676	0.483588218229352	0.967176436458703	0.303693749584243	0.672370690907097	-0.0411498465144493	1.84082555183011	-0.513806190846308	0.446468837080277
"f(1,120)=7.51"	0.00707341355293045	0.141468271058609	0.282936542117218	0.640358000906242	0.83131462922951	-1.07374599154372	-0.57413997494505	0.359415878139211	0.959373258873178
